cool dude nicky need day life vlog rod brothers,Positive
video games bjj hell yeah,Positive
get new pc microcenter stream,Neutral
3k cold plunge living weird times,Neutral
need grind beans bit finer pull tamper properly press nicky looks like coffee coming way fast,Neutral
play cod like bjj hahaha,Neutral
gordon watching,Neutral
bjj best style,Positive
surely mean brazillian ju jitsu jujitsu ancient japanese battlefield art,Neutral
relate home 8 30pm nothing bs outside seen tons respect safe everyone great day,Positive
ah chappelle exactly happened,Neutral
weird people want defend think world people always good nice,Negative
guy,Neutral
funny japan kids fight much elementary school us start learning judo jiu jitsu junirey high school sudden fights,Neutral
lot pants grabbing jiu jitsu see practical real life guard passing stuff takes long time see real life going kicking stomping think pants grabbing best use time trying hold people pants like life depends grab pants hold pants let pants go standing moving holding onto pants would move pick chair throw makes hard sell entertainment many people pay watch people grab pants,Neutral
scared go church,Negative
lot pussies comment section sudden bjj champs,Negative
jujitsu ok sport completely useless self defence unless someones already knocked ground,Negative
need get chris haueter podcast joe,Neutral
one practises bjj going get simply stand run guy intentionally hurt someone got banned mma gym trained blew someone knee heard somewhere else train muay thai,Neutral
single leg x dangerous tall people,Neutral
adolescents,Neutral
honest question would compare bjj catch wrestling,Neutral
mentioned different body types different advantages female training always wondered advantage big booty lol,Neutral
joe rogan humble hey,Neutral
like striking nowadays internet many people underestimates bjj even grappling total,Neutral
worse martial art self defense streets,Negative
one going jump stage,Neutral
like lion grabbing baby,Neutral
well said joe well said,Positive
sorry joe good idea boxing kick boxing maybe muay thai bjj bjj mats devastatingly effective going ground public might waking hospital dudes friend soccer kicked head choking friend roll around mats wild,Neutral
man desire learn protect loved ones softttt,Negative
want joe,Neutral
8 51 true,Neutral
big guys get tested like middle sized guys,Neutral
inspirational,Positive
boxer always wondered true street fight would win bjj guy seasoned boxer feel like long let bjj guy get back would blatantly target chin nose liver smash power punches flurry non stop obviously poke eyes stomp genitals true fight life scenario guy really smash like cannon hands tough choke get arm leg lock,Neutral
average person really know hopeless jiu jitsu black belt grabs hold,Neutral
jiujitsu noun jiu jit su ju jit sü 1 1 gentle art folding clothes people still 2 involuntary yoga verb used object,Neutral
michael yo master interviewer glad joe rogan talk jiu jitsu,Neutral
jujitsu worst self defense lol sport point survival fighting stay standing roll ground muck jujitsu easily beatable taught us military elites like modern arnis fma far superior war street,Negative
7 15 every whitebelt 2023 ngl,Neutral
used judo kid never done jiu jitsu wonder learn jiu jitsu beginner,Neutral
problem jiu jitsu really require martial arts function properly unless opponent absolute dunce unless possess significant skill strength advantage opponent fights last wayyyyy longer anyone like,Neutral
brazilian jiu jitsu cooperative martial art submit person willing roll good self defence street fighting look got popular cheating ofcourse,Neutral
judo better,Neutral
joe rogan goat bjj,Neutral
completely agree joe 9 months thailand kickboxing training belt would suggest anyone learn solid martial art least one gets caught pants someone wants idiot,Neutral
start wrestling pretty much mom made im pushing 50 18yr son still take,Neutral
guy needs study spear system blauer tactical wants basic understanding guys studied violence 40 years help understand mentality suspect try de escalate de escalate worries know person targetted ever reason planning get violent matter aka asocial predatory mentality,Neutral
actually going free jiu jitsu class friend work says like yoga choking,Neutral
totally agree train angle choke,Neutral
someone talks ju jutsu need able tell ju jutsu bjj stupid,Neutral
started boxing 21 years old want overcome fear facing someone dangerous scenario need defend someone love much fun love sadly cant train often 2 jobs baby steps better steps like u talk martial arts expirience keep going,Positive
dont survive pull knife pocket hes choking stab 10 times,Negative
regular jiu jitsu brazilian jiu jitsu whats difference,Neutral
think preferred pankration two similar enough comes works,Neutral
practice martial arts learn strike better really best one mix,Neutral
guy full needs humbled jiu jitsu,Negative
would spent money see joe fight mma match,Neutral
white belt black belt 3 years even possible would anybody even respect black practiced art 3 years,Neutral
footballs tough sport 22 people kicking,Neutral
luta livre couple months ngl way see world changes struggle 30 minutes dudes trying choke hanging dear life,Neutral
japanese ju jitsu bjj,Neutral
buuuuut think know,Neutral
got ta say beginner feels extremely homo erotic techniques highly effective self defense,Neutral
one gon na jump stage comedian welp days smiths greatest oscar,Neutral
3 years white black thats wild,Neutral
gon na start bjj soon friend worth find martial art cant one punching cuz mom scared gon na get brain damange,Neutral
average person pull gun shot u,Neutral
2023 ju jitzu world cup thailand insane,Neutral
must confess remain unconvinced likehood getting hurt someone training way higher likelihood getting hurt killed random ass dude,Negative
taking forever learn sport stuck since pandemic started 2020 year triangled two people,Neutral
joe talking 5 50,Neutral
general thing large guys likely get fights want avoid fights looming people,Neutral
irrational people worry little joe become big political crazy people come know carries think others need security guess nyc see danger everywhere maybe vision skewed long island live quite nice joe gets confronted idiots time dumb people want test boundary themself never altercation insanely picked joe rogan try best fake tough guy,Neutral
good message love running clips back,Positive
problem street fight never know 3rd 4th 5th party might enter fight tied ground getting kicked head guys friend going bad time,Negative
bro half way thought tap like tap 7 18,Neutral
got lucky made male purple belt tap bjj white belt next class tapped woman also yellow belt yoga instructor,Neutral
chris rock learned jiu jitsu joe called,Neutral
self defense great stopping threats basically means training kill quickly possible love dragon sleepers dropping peoples spine knee breaking bones deescalate first,Neutral
want fight joe rogan,Neutral
train past knee issue,Neutral
one thing would add benefit bjj similar cardio gain training even beat guy chances breath,Neutral
bjj gi triangle choke looks like hell strangle 1970s judo book saw county library 1988,Neutral
started bjj 2 years ago best thing ever,Positive
1on1 combat one sound martial art guarantee always safe never get hit sprinting sustain 400m decent pace good every single time applies people knives knuckles swords machettes guns run straight line,Neutral
looks like sneaky like 40 years old,Neutral
training bjj 2 years 1 stripe blue belt last week rolled academy coach black belt rodger gracie playing chance even neutral position never mind sub submitted like 6 times roll letting take positions advancing shutting sweeping submitting ease really idea fight someone coming 2 years 3x week jiu jitsu best sport world fence get gym regret,Positive
bjj good people could never apply fight self defense,Neutral
jujitsu worthless vs bullet head buy need one else joints practice ripping apart,Negative
long take average person become black belt trick question average person never become black belt,Neutral
joe loves talking bj penn lol,Neutral
alot people kill time,Negative
white belt black belt 3 years never heard crazy,Neutral
joe rogan biggest bjj ambassador,Neutral
belt fight life even never get single belt promotion jiu jitsu martial art train gracie combatives mma gloves experienced getting punched face personally using jiu jitsu shivworks experienced real world knife handgun standing clinch ground car seat etc,Positive
good school good ethics definitely get rid spaz,Neutral
white belt judo 5 years gi belt tattered would cal gave harder challenge blue brown,Neutral
10 30,Neutral
even grappler wrestling bjj gets far boxing kickboxing still essential multiple attacker cases get ground,Neutral
called losing testosterone one ages stay edge slow unless ya get mean gene trt,Neutral
friend michael yo got covid,Neutral
bjj fucking garbage,Negative
I hate the content of this channel,Negative
This video is terrible and a waste of time,Negative
Such a boring video couldn't watch till the end,Negative
The quality is awful very disappointed,Negative
I didn't like this video at all,Negative
The worst video I have ever seen,Negative
Complete nonsense very bad content,Negative
Disliked this video very boring,Negative
This is just not good very poor quality,Negative
Totally rubbish not worth watching,Negative
Horrible video wouldn't recommend,Negative
Very negative experience not enjoyable,Negative
Not interesting very dull content,Negative
I regret watching this video,Negative
Low quality content didn't like it,Negative
Very bad video not worth the time,Negative
The worst I've seen on YouTube,Negative
Absolutely boring not entertaining at all,Negative
Disappointed with this video,Negative
Did not enjoy this at all very bad,Negative
This video is amazing I learned so much!,Positive
Absolutely love the content on this channel.,Positive
Very informative and entertaining video.,Positive
Great quality really enjoyed watching.,Positive
I liked this video a lot very well done.,Positive
One of the best videos I've seen.,Positive
Excellent content very engaging.,Positive
Really liked this very good video.,Positive
Fantastic video highly recommend.,Positive
This is great very well produced.,Positive
Loved every minute of this video.,Positive
Such a positive experience very enjoyable.,Positive
Very interesting and high-quality content.,Positive
I'm glad I watched this video.,Positive
Very impressed with the quality of this video.,Positive
Great video worth every second.,Positive
One of the best on YouTube.,Positive
Super entertaining very good job.,Positive
Enjoyed this a lot veryPositive.,Positive
Great job really loved this video,Positive
comment,sentiment
congrats respect mikey osss,Positive
yesssss mikeyy,Positive
revenge nerd,Negative
beast,Negative
omg wait one 2 humble warriors love jiu jitsu,Positive
cringe af idc could fold like pretzel lol goofy,Negative
mickey number one ever lose detail makes better others kind clever personality admire,Positive
mickey kade going epic,Positive
probably overreacting entertaining see like tha lol,Neutral
long steroid free acknowledge guys greatness,Neutral
autistic xd,Negative
guy best,Positive
snoozefest,Negative
boy aspergers fun watch,Negative
said something family took personal mikey performing technique last dance sousa calf slicer knee crank sousa dancing anytime soon sousa know knows,Neutral
one championship heres 50k darth rig fuck,Positive
well went hater fan hell yea,Positive
announcer interviewing mikey horrible stop taking mic let speak energy mikey let get annoying,Negative
angry mikey vs sousa mma must happen,Neutral
fight bjj fight amateur wrestling alot closer bjj match,Neutral
mam hes always pissed something lmao,Negative
musumeci ate much pizza affecting brain pride always comes fall,Negative
nice guy,Positive
assburgers unleashed,Negative
love much respect keeping real,Positive
guys match 10 minutes calm k spoken like true warrior,Positive
lol love kid,Positive
mikey always struck immature unhinged extremely great bjj though obviously,Positive
like version mikey,Neutral
brand autism,Negative
never seen fired,Negative
wait see mma goat,Neutral
opponent disrespectful professional victim barely find guy insta posts,Neutral
everyome autism anything really try,Positive
stands like falling forward trying stand straight,Neutral
autistic person autistic,Negative
mikey actually angry moving weight terrifying thing ever,Neutral
mike going hands full kade,Neutral
mikey confirmed eternal status emotionally unstable mayor douchebag village,Negative
mikey found religion profanity nice combo still beast comes breaking limbs,Positive
chosen one bambino,Positive
esse moleque parece ter autismo kkkk,Negative
hard imagine ruotolo 7 years younger musumeci definitely seems mature mikey seems like angry teenage gamer yelling behind computer screen,Negative
nuts,Negative
oh dam yall idea kinda monster never rolled,Neutral
absolutely love watching mikey roll longer stand hear speak like angry suburbs kid promise ring got dissed 14th birthday party,Positive
love freakshows hahaha good thing ruotolos got nerd gang goes mass shooting,Positive
musumeci cringe af even victory lost,Negative
mikey got dumpy know chatri making go weight classes pay per views cake alone,Negative
watch language brother,Neutral
dude weird,Negative
love mike pure genuine guy could kill hands nothing else lol,Positive
autism god damn super power,Negative
autistic assasin,Negative
respect always,Positive
mike weird fuck got mad issues,Negative
prison mike,Negative
foo form autism swear mike zuckerberg weird energy lol,Negative
si mikey lang ang nakita ko na kahit ref shinake hands nya bgo magsimula ang laban respectful talaga,Neutral
mikey cringe interview,Negative
meet kade middle,Positive
kade vs mikey gon na epic,Positive
mikey seem angry bro get things frustrating angry suit,Negative
way kept reaching mike lol,Neutral
brilliant jig jitsu guy mikey clue promotion pill ugh,Neutral
covid stfu gabriel didnt make excuse losing,Negative
juiced cheater thats talent,Neutral
subtitles,Neutral
stand mikey good,Neutral
mica galvão,Positive
mikey like mikey tmnt goofy someone touches family love,Positive
mikey italian fire burning within,Positive
going start saying curse words since mikey,Neutral
baby shark,Neutral
baby boy,Neutral
guys point star thinking important persons etc dude american italian way gringe f man,Negative
autism strong love,Positive
want mikey,Neutral
sousa looks filipino filipino,Neutral
mikey angry must ate store bought pizza,Negative
got mikey match,Neutral
anyone else hear ref call calf slicer ham sandwhich best knee exploder least w bag pack amazing,Positive
scared,Negative
talk dude,Neutral
mikey nice guy make mad,Neutral
poor mikey autism overdrive giving mic makes dangerous,Negative
mikey plays victims bro adcc cater game constantly bugging mo rule set clear,Neutral
boy win mikey got darth,Neutral
mikey stop whining time makes look unprofessional,Neutral
hate watching guy seen sit bell rings done times,Negative
girlfriend watch asked normally happen said even know guy,Neutral
bro care 50 grand,Neutral
hahahah easy fuck indeed,Negative
like lesbians sex,Neutral
mike musumeci villain origin story turning ronda rousey grappling,Neutral
new cringe king,Neutral
lil guy able dislocated every join body sacry nerd right,Neutral
guy actual crab usually see goes back legs come back far almost behind torso lol like contortionist literally contortionist think people talk crap accept someone personality type dominant sport like genetics genetics though dude put time aswell might well grateful respectful dude cool,Neutral
put much peperoncino pizza last night,Positive
