comment,sentiment
jujitsu worst self defense lol sport point survival fighting stay standing roll ground muck jujitsu easily beatable taught us military elites like modern arnis fma far superior war street,Negative
7 15 every whitebelt 2023 ngl,Neutral
used judo kid never done jiu jitsu wonder learn jiu jitsu beginner,Neutral
problem jiu jitsu really require martial arts function properly unless opponent absolute dunce unless possess significant skill strength advantage opponent fights last wayyyyy longer anyone like,Neutral
brazilian jiu jitsu cooperative martial art submit person willing roll good self defence street fighting look got popular cheating ofcourse,Neutral
judo better,Neutral
joe rogan goat bjj,Neutral
completely agree joe 9 months thailand kickboxing training belt would suggest anyone learn solid martial art least one gets caught pants someone wants idiot,Neutral
start wrestling pretty much mom made im pushing 50 18yr son still take,Neutral
guy needs study spear system blauer tactical wants basic understanding guys studied violence 40 years help understand mentality suspect try de escalate de escalate worries know person targetted ever reason planning get violent matter aka asocial predatory mentality,Neutral
actually going free jiu jitsu class friend work says like yoga choking,Neutral
totally agree train angle choke,Neutral
someone talks ju jutsu need able tell ju jutsu bjj stupid,Neutral
started boxing 21 years old want overcome fear facing someone dangerous scenario need defend someone love much fun love sadly cant train often 2 jobs baby steps better steps like u talk martial arts expirience keep going,Positive
dont survive pull knife pocket hes choking stab 10 times,Negative
regular jiu jitsu brazilian jiu jitsu whats difference,Neutral
think preferred pankration two similar enough comes works,Neutral
practice martial arts learn strike better really best one mix,Neutral
guy full needs humbled jiu jitsu,Negative
would spent money see joe fight mma match,Neutral
white belt black belt 3 years even possible would anybody even respect black practiced art 3 years,Neutral
footballs tough sport 22 people kicking,Neutral
luta livre couple months ngl way see world changes struggle 30 minutes dudes trying choke hanging dear life,Neutral
japanese ju jitsu bjj,Neutral
buuuuut think know,Neutral
got ta say beginner feels extremely homo erotic techniques highly effective self defense,Neutral
one gon na jump stage comedian welp days smiths greatest oscar,Neutral
3 years white black thats wild,Neutral
gon na start bjj soon friend worth find martial art cant one punching cuz mom scared gon na get brain damange,Neutral
average person pull gun shot u,Neutral
2023 ju jitzu world cup thailand insane,Neutral
must confess remain unconvinced likehood getting hurt someone training way higher likelihood getting hurt killed random ass dude,Negative
taking forever learn sport stuck since pandemic started 2020 year triangled two people,Neutral
joe talking 5 50,Neutral
general thing large guys likely get fights want avoid fights looming people,Neutral
irrational people worry little joe become big political crazy people come know carries think others need security guess nyc see danger everywhere maybe vision skewed long island live quite nice joe gets confronted idiots time dumb people want test boundary themself never altercation insanely picked joe rogan try best fake tough guy,Neutral
good message love running clips back,Positive
problem street fight never know 3rd 4th 5th party might enter fight tied ground getting kicked head guys friend going bad time,Negative
bro half way thought tap like tap 7 18,Neutral
got lucky made male purple belt tap bjj white belt next class tapped woman also yellow belt yoga instructor,Neutral
chris rock learned jiu jitsu joe called,Neutral
self defense great stopping threats basically means training kill quickly possible love dragon sleepers dropping peoples spine knee breaking bones deescalate first,Neutral
want fight joe rogan,Neutral
train past knee issue,Neutral
one thing would add benefit bjj similar cardio gain training even beat guy chances breath,Neutral
bjj gi triangle choke looks like hell strangle 1970s judo book saw county library 1988,Neutral
started bjj 2 years ago best thing ever,Positive
1on1 combat one sound martial art guarantee always safe never get hit sprinting sustain 400m decent pace good every single time applies people knives knuckles swords machettes guns run straight line,Neutral
looks like sneaky like 40 years old,Neutral
training bjj 2 years 1 stripe blue belt last week rolled academy coach black belt rodger gracie playing chance even neutral position never mind sub submitted like 6 times roll letting take positions advancing shutting sweeping submitting ease really idea fight someone coming 2 years 3x week jiu jitsu best sport world fence get gym regret,Positive
bjj good people could never apply fight self defense,Neutral
jujitsu worthless vs bullet head buy need one else joints practice ripping apart,Negative
long take average person become black belt trick question average person never become black belt,Neutral
joe loves talking bj penn lol,Neutral
alot people kill time,Negative
white belt black belt 3 years never heard crazy,Neutral
joe rogan biggest bjj ambassador,Neutral
belt fight life even never get single belt promotion jiu jitsu martial art train gracie combatives mma gloves experienced getting punched face personally using jiu jitsu shivworks experienced real world knife handgun standing clinch ground car seat etc,Positive
good school good ethics definitely get rid spaz,Neutral
white belt judo 5 years gi belt tattered would cal gave harder challenge blue brown,Neutral
10 30,Neutral
even grappler wrestling bjj gets far boxing kickboxing still essential multiple attacker cases get ground,Neutral
called losing testosterone one ages stay edge slow unless ya get mean gene trt,Neutral
friend michael yo got covid,Neutral
bjj fucking garbage,Negative
